mall_name,Clinic (CHAS),Clinic (PHPC),Gym (GeoJSON),Gym/Sports (CSV),HDP Outlet,Total,has_bike_rack,has_playground,longitude,latitude,HPM,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count,satisfy
Junction Nine,1,1,0,3,4,9,0,0,103.8416609859896,1.433122839831811,0,2.0,2.0,35.0,2.0,0.0,75488.0,14137.0,1.0,0
Anchorpoint,1,1,0,1,6,9,0,0,103.8056077793991,1.288934779744979,1,6.0,54.0,1069.0,25.0,24500.0,51003.0,11914.0,1.0,0
The Star Vista,0,0,0,1,7,8,1,0,103.7884203,1.30697044,1,3.0,49.0,1637.0,9.0,47364.0,39516.0,10333.0,1.0,1
Pioneer Mall,3,1,0,0,4,8,0,0,103.6971748421173,1.341692392142922,0,4.0,4.0,40.0,4.0,93972.0,112028.0,19375.0,1.0,0
Pasir Ris Mall,0,0,0,2,6,8,1,1,103.9487488736156,1.373824377794677,0,1.0,1.0,23.0,9.0,72155.0,0.0,0.0,1.0,1
The Centrepoint,0,0,1,1,6,8,0,0,103.8397766312135,1.302009777666765,0,21.0,163.0,3671.0,5.0,43329.0,18953.0,2696.0,2.0,0
Pasir Ris West Plaza,2,0,0,0,6,8,0,0,103.9365746136632,1.379668120441751,0,4.0,4.0,33.0,21.0,179842.0,36252.0,5853.0,2.0,0
Elias Mall,4,1,0,2,0,7,0,0,103.942364336974,1.377828766164656,1,4.0,4.0,19.0,5.0,19865.0,51041.0,8172.0,2.0,0
Punggol Plaza,2,1,0,1,3,7,1,0,103.913047323223,1.39423719717118,0,3.0,11.0,97.0,29.0,160593.0,99752.0,13700.0,1.0,1
Bugis+,0,0,0,0,7,7,0,0,103.8542423474883,1.299603689902971,1,0.0,0.0,0.0,9.0,673.0,15542.0,3980.0,0.0,0
Limbang Shopping Centre,4,1,0,0,2,7,0,0,103.743611063324,1.392220331361524,1,8.0,56.0,805.0,4.0,111906.0,49383.0,8593.0,2.0,0
Kitchener Complex,0,1,0,0,6,7,1,0,103.8620058708833,1.308327005163521,0,5.0,5.0,49.0,3.0,109466.0,30946.0,8167.0,1.0,0
Tekka Place,0,0,0,5,2,7,1,0,103.8522269846324,1.304628719492547,1,0.0,0.0,0.0,4.0,0.0,22200.0,5405.0,1.0,0
112 Katong,0,0,0,2,5,7,0,0,103.9050461102276,1.305206536173404,0,3.0,3.0,56.0,4.0,23235.0,35844.0,7786.0,1.0,0
Tanglin Mall,0,0,0,1,6,7,0,0,103.8238527947718,1.304843441969151,0,1.0,2.0,7.0,11.0,26833.0,11152.0,2355.0,2.0,0
Siglap Centre,3,1,0,0,3,7,0,0,103.9240583431442,1.312886617936242,0,0.0,0.0,0.0,1.0,0.0,25343.0,6080.0,0.0,0
Woodlands Mart,3,0,0,0,3,6,0,0,103.7981409938909,1.445622907202213,0,5.0,5.0,39.0,30.0,113234.0,84663.0,11795.0,2.0,0
Showplace (Resorts World Sentosa),1,0,0,0,5,6,0,0,103.8220387144045,1.257038644685504,0,0.0,0.0,0.0,7.0,3559.0,33.0,4.0,0.0,0
Bras Basah Complex,1,0,0,2,3,6,0,0,103.8539071855816,1.296794863571021,0,7.0,55.0,822.0,5.0,17144.0,8370.0,1809.0,0.0,0
Sembawang Point,3,2,0,1,0,6,1,0,103.8186411,1.449566486,0,0.0,0.0,0.0,2.0,67947.0,76665.0,10601.0,1.0,0
Kampung Admiralty,0,0,0,0,6,6,1,0,103.8010311842803,1.439567156551042,1,26.0,396.0,5467.0,70.0,196719.0,119873.0,15313.0,1.0,0
Woodlands North Plaza,3,0,0,0,3,6,0,0,103.7905480155114,1.442753343277944,0,4.0,4.0,31.0,5.0,80557.0,68949.0,10061.0,1.0,0
Sengkang Grand Mall,0,1,0,1,4,6,1,0,103.8927210080175,1.382981632307178,0,14.0,271.0,11364.0,5.0,133341.0,101992.0,17774.0,1.0,1
Taman Jurong Shopping Centre,2,1,0,0,3,6,0,0,103.7204620142154,1.334844851992345,0,4.0,4.0,40.0,14.0,241142.0,39323.0,6821.0,1.0,0
Far East Square,0,0,1,1,4,6,0,0,103.8485901254267,1.282714560785899,0,34.0,267.0,6010.0,2.0,0.0,13787.0,3846.0,0.0,0
Northshore Plaza,0,1,0,2,3,6,0,0,103.9013233510322,1.41796176594117,1,28.0,108.0,1696.0,18.0,105481.0,26876.0,3097.0,1.0,0
Queensway Shopping Centre,0,0,0,4,1,5,0,0,103.8033972877883,1.287595189398704,0,0.0,0.0,0.0,2.0,0.0,35787.0,8470.0,0.0,0
Punggol Coast Mall,0,0,0,0,5,5,0,0,103.9106142924083,1.414773534913812,0,10.0,74.0,2044.0,5.0,51480.0,19455.0,2837.0,2.0,0
Hillv2,1,1,0,0,3,5,0,0,103.7641729200599,1.362674508280243,0,0.0,0.0,0.0,6.0,35316.0,21447.0,4039.0,1.0,0
Komo Shoppes,0,1,0,2,2,5,0,0,103.9700933372727,1.360551137268365,0,0.0,0.0,0.0,1.0,25271.0,0.0,0.0,1.0,0
Hougang Rivercourt,0,1,0,0,4,5,0,0,103.8947421164873,1.36220591877146,1,7.0,55.0,1309.0,3.0,443.0,43388.0,11235.0,2.0,0
GR.ID,0,0,1,2,2,5,0,0,103.8492641279103,1.300108267234854,0,0.0,0.0,0.0,1.0,2278.0,12268.0,2878.0,0.0,0
Jubilee Square,0,0,0,1,4,5,0,0,103.8478376,1.371785586,0,0.0,0.0,0.0,1.0,0.0,70260.0,19789.0,0.0,0
Coronation Shopping Plaza,1,0,0,0,4,5,0,0,103.8099995700472,1.323835121787596,0,0.0,0.0,0.0,5.0,58434.0,14364.0,3067.0,1.0,0
