name,HPM,latitude,longitude,postal,count_of_postal_codes
KAP,0,1.337007858671026,103.8864348202392,598292,3
KAP,0,1.337007858671026,103.8864348202392,598332,3
KAP,0,1.337007858671026,103.8864348202392,367998,3
Katong Shopping Centre,0,1.304097311509515,103.9015159169702,437844,1
Katong V,0,1.303946699991795,103.9028255857622,428751,1
KINEX,1,1.314618498892422,103.8947380047679,437157,1
Kitchener Complex,0,1.308327005163521,103.8620058708833,200808,2
Kitchener Complex,0,1.308327005163521,103.8620058708833,200809,2
Komo Shoppes,0,1.360551137268365,103.9700933372727,506790,4
Komo Shoppes,0,1.360551137268365,103.9700933372727,507664,4
Komo Shoppes,0,1.360551137268365,103.9700933372727,506788,4
Komo Shoppes,0,1.360551137268365,103.9700933372727,506789,4
Le Quest,0,1.355662249439935,103.7410973534169,657991,6
Le Quest,0,1.355662249439935,103.7410973534169,657990,6
Le Quest,0,1.355662249439935,103.7410973534169,657992,6
Le Quest,0,1.355662249439935,103.7410973534169,657978,6
Le Quest,0,1.355662249439935,103.7410973534169,657993,6
Le Quest,0,1.355662249439935,103.7410973534169,657977,6
Lentor Modern,0,1.385697007270182,103.8349576903235,788890,5
Lentor Modern,0,1.385697007270182,103.8349576903235,788888,5
Lentor Modern,0,1.385697007270182,103.8349576903235,788887,5
Lentor Modern,0,1.385697007270182,103.8349576903235,788889,5
Lentor Modern,0,1.385697007270182,103.8349576903235,788891,5
Limbang Shopping Centre,1,1.392220331361524,103.743611063324,680533,4
Limbang Shopping Centre,1,1.392220331361524,103.743611063324,681533,4
Limbang Shopping Centre,1,1.392220331361524,103.743611063324,680534,4
Limbang Shopping Centre,1,1.392220331361524,103.743611063324,680532,4
Lot One Shoppers' Mall,1,1.38497459672379,103.7450117663881,689812,1
Loyang Point,0,1.367073575256231,103.964632225014,510259,2
Loyang Point,0,1.367073575256231,103.964632225014,510258,2
Lucky Chinatown,0,1.283653198633762,103.8433096448122,059432,1
Lucky Plaza,0,1.304506046466357,103.8339623398165,238863,1
Mandarin Orchard,0,1.302004717,103.8365842,238897,1
Marina Square,0,1.291117291792165,103.8577582680886,039594,2
Marina Square,0,1.291117291792165,103.8577582680886,039595,2
Millenia Walk,0,1.292605444624933,103.8597249444427,039596,1
New Bahru,0,1.292880418808305,103.8396509397047,239351,2
New Bahru,0,1.292880418808305,103.8396509397047,239359,2
New Bridge Centre,0,1.282816494046038,103.8427107296376,050336,1
Nex,1,1.320803832320556,103.8787293921758,556083,4
Nex,1,1.320803832320556,103.8787293921758,138542,4
Nex,1,1.320803832320556,103.8787293921758,138543,4
Nex,1,1.320803832320556,103.8787293921758,387293,4
Ngee Ann City,0,1.302424171894113,103.8346761247222,238872,3
Ngee Ann City,0,1.302424171894113,103.8346761247222,238873,3
Ngee Ann City,0,1.302424171894113,103.8346761247222,238874,3
Northpoint City,0,1.42790289018678,103.8361776507003,769098,3
Northpoint City,0,1.42790289018678,103.8361776507003,768019,3
Northpoint City,0,1.42790289018678,103.8361776507003,769100,3
Northshore Plaza,1,1.41796176594117,103.9013233510322,820407,2
Northshore Plaza,1,1.41796176594117,103.9013233510322,820418,2
NTP+,0,1.351485853,103.8615332,556741,1
Oasis Terraces,1,1.402780157256932,103.9132151013428,820681,1
One Holland Village,0,1.312102865829644,103.7937742789214,275748,4
One Holland Village,0,1.312102865829644,103.7937742789214,275754,4
One Holland Village,0,1.312102865829644,103.7937742789214,275753,4
One Holland Village,0,1.312102865829644,103.7937742789214,275752,4
One Raffles Place,0,1.284349546223077,103.8510725458335,048616,1
Orchard Central,0,1.300838908392453,103.8394347338989,238896,1
Orchard Gateway,0,1.301601169575445,103.8388688865187,238851,1
Pacific Plaza,0,1.306547046977021,103.8321281742146,228210,1
Palais Renaissance,0,1.306654845431923,103.8295880451874,238871,1
Parc Point,0,1.360433421408648,103.7395700992732,690302,6
Parc Point,0,1.360433421408648,103.7395700992732,694302,6
Parc Point,0,1.360433421408648,103.7395700992732,691302,6
Parc Point,0,1.360433421408648,103.7395700992732,692302,6
Parc Point,0,1.360433421408648,103.7395700992732,693302,6
Parc Point,0,1.360433421408648,103.7395700992732,690303,6
Parkway Parade,1,1.301069755063101,103.9052794915233,449269,1
Pasir Ris Mall,0,1.373824377794677,103.9487488736156,519612,1
Pasir Ris West Plaza,0,1.379668120441751,103.9365746136632,510734,2
Pasir Ris West Plaza,0,1.379668120441751,103.9365746136632,510735,2
Paya Lebar Quarter,1,1.317708868989965,103.8934146635971,409057,1
Paya Lebar Square,0,1.318814870076511,103.8925807785135,409051,1
Peninsula Plaza,0,1.292317422288004,103.8508031797687,179098,1
Peninsula Shopping Complex,0,1.291807896019869,103.8502726378534,179804,1
People Park Complex ,0,1.284133971784198,103.8425199726656,059108,1
Pioneer Mall,0,1.341692392142922,103.6971748421173,640638,1
Plantation Plaza,1,1.357593194361345,103.7341748512027,690127,1
Plaza Singapura,0,1.300747709639166,103.8450475734307,238839,1
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829909,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829911,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829912,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829853,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829854,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829855,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829856,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829857,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829910,10
Punggol Coast Mall,0,1.414773534913812,103.9106142924083,829913,10
Punggol Plaza,0,1.39423719717118,103.913047323223,820168,1
Queensway Shopping Centre,0,1.287595189398704,103.8033972877883,149053,1
Raffles City Shopping Centre,0,1.293893579,103.8531199,179103,1
Riverside Point,0,1.289292505294204,103.8441676190972,058282,1
Rivervale Mall,0,1.392197778384503,103.9044716000245,545082,1
Rivervale Plaza,1,1.385337361077732,103.9018410441215,540118,1
Rochester Mall,0,1.305407656,103.7884467,138639,1
Scotts Square,0,1.305799429661715,103.8330747062191,228209,2
Scotts Square,0,1.305799429661715,103.8330747062191,228238,2
Sembawang Point,0,1.449566486,103.8186411,750355,3
Sembawang Point,0,1.449566486,103.8186411,750406,3
Sembawang Point,0,1.449566486,103.8186411,758440,3
Sembawang Shopping Centre,0,1.441824706757328,103.8248452072371,758459,1
Sengkang Grand Mall,0,1.382981632307178,103.8927210080175,544692,2
Sengkang Grand Mall,0,1.382981632307178,103.8927210080175,544575,2
Serene Centre,0,1.3225246443153,103.8137065295714,258748,1
