name,address,vaccine,postal
The Family Practice @skyville,"85 Dawson Road #01-06, Singapore 141085",Pfizer/Comirnaty (JN.1) (12 years old & above),141085
94 Dawson Family Clinic,"94A Dawson Rd, #01-01, Singapore 142094",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),142094
Healthway Medical (Brickworks Estate),"1 Jalan Bukit Merah, Brickworks Estate #01-4524, Singpaore 150001","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",150001
HeartlandHealth (Redhill Close),"86 Redhill Close #01-600, Singapore 150086","Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",150086
"Drs. Koo, Koh and Associates","163 Bukit Merah Central, #1-3609 Singapore 150163",Pfizer/Comirnaty (JN.1) (12 years old & above),150163
Pacific Family Clinic,"75D Redhill Road, #01-116, Singapore 154075",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),154075
Minmed Clinic (Redhill),"12 Alexandra View, Artra #01-16, Singapore 158736",Moderna/Spikevax (JN.1) (12 years old & above),158736
Straits Clinic (Anchorpoint),"370 Alexandra Road, Anchorpoint Shopping Centre, B1-41, Singapore 159953",Pfizer/Comirnaty (JN.1) (12 years old & above),159953
Onecare Clinic Beo Crescent,"40 Beo Crescent, The Beo Crescent #01-02, Singapore 160040",Pfizer/Comirnaty (JN.1) (12 years old & above),160040
Dr Gary's Family Clinic,"77 Indus Road #01-519, Singapore 160077",Pfizer/Comirnaty (JN.1) (12 years old & above),160077
Marina Medical Centre (Tiong Bahru),"78 Guan Chuan Street #01-39, Singapore 160078","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",160078
Pancare Medical (Bukit Merah),"147 Silat Avenue, #01-32, Singapore 160147",Pfizer/Comirnaty (JN.1) (12 years old & above),160147
Yim Clinic,"11A Boon Tiong Road #02-03/04/05, Singapore 161011",Pfizer/Comirnaty (JN.1) (12 years old & above),161011
Trucare Medical and Surgery (Havelock),"51 Havelock Road #01-04, Singapore 161051",Pfizer/Comirnaty (JN.1)(5 to 11 years old) (12 years old & above),161051
Medi Clinic,"2 Jalan Kukoh, #01-149, Singapore 163002",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),163002
The iClinic,"18 Jalan Membina #02-07, Singapore 164018",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),164018
Healthway Medical (Tiong Bahru),"18 Jalan Membina, #02-08, Singapore 164018",Moderna/Spikevax (JN.1) (12 years old & above),164018
Kao & Tan Family Medical Centre & Surgery,"18 Jalan Membina, #02-03, Tiong Bahru Court, Singapore 164018",Pfizer/Comirnaty (JN.1) (12 years old & above),164018
Icare Medical Centre,"733 Havelock Road, #01-01, Singapore 169651","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",169651
The Clinic @ Campus,"70 Stamford Road, Li Ka Shing Library Building #B1-21, Singapore 178901","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",178901
Raffles Medical Clinic Raffles City Shopping Centre,"252 North Bridge Road, Raffles City Shopping Centre #02-17, Singapore 179103",Pfizer/Comirnaty (JN.1) (12 years old & above),179103
Parklane Medical Centre,"35 Selegie Road, Parklane Shopping Mall #02-25A, Singapore 188307",Pfizer/Comirnaty (JN.1) (12 years old & above),188307
Raffles Medical Clinic Raffles Hospital,"585 North Bridge Road Level 2 Raffles Hospital, Singapore 188770",Pfizer/Comirnaty (JN.1) (12 years old & above),188770
Pinnacle Family Clinic (DUO Galleria),"7 Fraser Street, #B3-12 Duo Galleria, Singapore 189356",Pfizer/Comirnaty (JN.1) (12 years old & above),189356
Shenton Medical Group (Esplanade),"90 Bras Basah Road, Esplanada Mrt Station #B1-02, Singapore 189562",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),189562
Ong's Clinic,"175 Bencoolen Street, Burlington Square #01-44, Singapore 189649",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),189649
Bethesda Medical @ Beach Road,"152 Beach Road, Gateway East #03-08, Singapore 189721",Pfizer/Comirnaty (JN.1) (12 years old & above)(5 to 11 years old),189721
Pancare Medical (Lavender),"465 North Bridge Road, #01-5073, Singapore 191465",Pfizer/Comirnaty (JN.1) (12 years old & above),191465
Healthway Medical (King George),"803 King George's Avenue #01-144, Singapore 200803","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",200803
Belief Medical,"809 French Road, Kitchener Complex, #02-32, Singapore 200809","Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above), Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",200809
Chia Clinic and Surgery,"27 Foch Road, #01-04 Hoa Nam Building, Singapore 209264","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",209264
Tayka Medical,"29A  Desker Road, Singapore 209562",Pfizer/Comirnaty (JN.1) (12 years old & above),209562
Edgedale Medical Clinic (Cambridge),"40 Cambridge Road #01-115, Singapore 210040","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above)",210040
57 Medical Clinic (Pek Kio),"41 Cambridge Road, #01-17, Singapore 210041",Pfizer/Comirnaty (JN.1) (12 years old & above),210041
Everwell Clinic & Surgery,"45 Owen Rd #01-289, Singapore 210045","Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above), Pfizer/Comirnaty (JN.1) (12 years old & above)",210045
Raffles Medical (Shaw Centre),"1 Scotts Road, Shaw Centre #04-09, Singapore 228208",Pfizer/Comirnaty (JN.1) (12 years old & above),228208
Minmed Clinic (River Valley),"1 Kim Seng Promenade, Great World City B2-128, Singapore 237994",Moderna/Spikevax (JN.1) (12 years old & above),237994
Pinnacle Family Clinic (River Valley),"240 River Valley Road, Singapore 238297",Pfizer/Comirnaty (JN.1) (12 years old & above),238297
Minmed Clinic (Orchard),"290 Orchard Road, The Paragon Tower 1 #16-04, Lobby F, Singapore 238859",Pfizer/Comirnaty (JN.1) (12 years old & above),238859
Clifford Dispensary PTE LTD,"350 Orchard Road, Shaw House #15-03, Singapore 238868","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",238868
Dr Kevin Chua Medical & Aesthetics,"360 Orchard Road, International Building #03-05, Singapore 238869","Pfizer/Comirnaty (JN.1) (12 years old & above)(5 to 11 years old), Moderna/Spikevax (JN.1) (12 years old and above)(6 years old to 11 years old)",238869
Fusion Medical ,"501 Orchard Road, Wheelock Place #04-11, Singapire 238880","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",238880
Newcastle Clinic,"541 Orchard Road, Liat Towers #14-02, Singapore 238881",Pfizer/Comirnaty (JN.1) (12 years old & above),238881
Healthsprings Medical Clinic (Liat Towers),"541 Orchard Road, Liat Towers #10-02, Singapore 238881",Pfizer/Comirnaty (JN.1) (12 years old & above),238881
Killiney Medical Clinic,"61 Killiney Road, Singapore 239522",Pfizer/Comirnaty (JN.1) (12 years old & above),239522
Chong's Medical Centre,"190 Clemenceau Avenue, #01-29/30 Singapore Shopping Centre, Singapore 239924",Pfizer/Comirnaty (JN.1) (12 years old & above),239924
ATA (Orchard) Medical,"1 orchard Boulevard, Camden Centre #05-09, Singapore 248649",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),248649
Advantage Medical Clinic,"1 Fifth Ave, Guthrie House 03-12, Singapore 268802","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",268802
Cavenagh Medical Clinic and Home Care,"559 Bukit Timah Road, #01-01, Singapore 269695",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),269695
Bukit Timah Clinic,"621A Bukit Timah Road, Singapore 269731","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1)(12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",269731
