MALL_NAME,HPM,LAT,LNG,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count
Sembawang Point,0,1.4473004927033,103.82010090952433,0,0,0,2,67947,76665,10601,1
Sembawang Shopping Centre,0,1.44175296834191,103.82479165671,1,1,30,20,80069,58087,7612,2
Sengkang Grand Mall,0,1.38298163203344,103.892721007746,14,271,11364,5,133341,101992,17774,1
Serene Centre,0,1.3225953918961,103.813698681482,0,0,0,2,0,12148,2757,0
Shaw Centre,0,1.30615048740141,103.83185337296,0,0,0,0,0,16719,3041,0
Showplace (Resorts World Sentosa),0,1.25524547806487,103.820885377493,0,0,0,7,3559,33,4,0
Siglap Centre,0,1.312870216055821,103.92404043861512,0,0,0,1,0,25343,6080,0
Sim Lim Square,0,1.30302298414827,103.853038663425,0,0,0,0,0,20475,5198,0
Singpost Centre,1,1.31885611019401,103.89406715568,8,53,1255,29,110491,38520,8981,1
Square 2,0,1.32044103104797,103.844192628979,0,0,0,28,59793,29790,5136,1
Sun Plaza,0,1.44820036592783,103.819530140823,0,0,0,20,267157,78981,10921,1
Sunshine Place,0,1.37789727709418,103.739015486021,4,4,33,6,177390,70132,11315,1
Suntec City,1,1.29485990186642,103.860333693777,67,218,6653,22,58064,5688,1212,2
Taman Jurong Shopping Centre,0,1.33484487471259,103.720462024278,4,4,40,14,241142,39323,6821,1
Tampines 1,1,1.35431556516976,103.945019456113,20,91,947,10,46869,84428,20674,3
Tampines Mall,1,1.35250468330971,103.944682574769,13,108,4294,35,342384,81202,20886,1
Tanglin Mall,0,1.30485342102105,103.823883490852,1,2,7,11,26833,11152,2355,2
Tanglin Place,0,1.30527219318576,103.825078876759,0,0,0,0,0,11784,2465,0
Teck Whye SC,0,1.38347037456651,103.75363537491633,0,0,0,0,0,72357,12749,0
Tekka Place,1,1.30512222179237,103.851438822181,0,0,0,4,0,22200,5405,1
Terminal 3,1,1.31461695449668,103.889282391877,28,146,3351,39,76989,47383,10701,1
The Cathay,0,1.29937731917749,103.847741982316,0,0,0,3,0,12284,2567,0
The Central,0,1.292736966959682,103.84269722617239,3,9,441,5,2736,19465,4205,1
The Centrepoint,0,1.3017144122063402,103.839896549137,21,163,3671,5,43329,18953,2696,2
The Clementi Mall,0,1.31535330743269,103.764651852737,0,0,0,20,351885,67386,15379,1
The Flow Mall,0,1.30457354662016,103.904203116447,0,0,0,0,0,34173,7323,0
The Heeren,0,1.30265160142482,103.837367213158,0,0,0,0,0,17873,2779,0
The Paragon,0,1.30372321739269,103.835240308455,0,0,0,6,34945,17615,3049,1
The Poiz Centre,0,1.33135550782584,103.868150095119,0,0,0,11,80865,46166,8817,1
The Seletar Mall,0,1.3914064187312,103.876165682945,0,0,0,18,228397,84407,10588,1
The Shoppes@MBS,0,1.283778729422065,103.8583056970545,0,0,0,10,10286,2137,173,1
The Star Vista,1,1.30681500712523,103.788462732266,3,49,1637,9,47364,39516,10333,1
The Woodleigh Mall,0,1.338785241680985,103.8718615856715,4,101,3662,3,190093,46259,8410,1
Thomson Plaza,0,1.35479436177561,103.830924910072,1,10,22,29,161801,22907,5967,1
Tiong Bahru Plaza,1,1.28633177192832,103.827550771424,5,13,139,42,262560,67849,17695,1
UE Square,0,1.2925333003917816,103.84252497737236,22,66,1355,5,17057,19661,4267,1
United Square,1,1.31733464260511,103.843463184971,10,59,425,11,50319,24194,4314,1
